userId,movieId,rating,timestamp
638,47,5.0,1511358045
638,318,5.0,1511354665
638,1584,5.0,1511358118
638,1704,5.0,1511354674
638,2028,5.0,1511355261
638,2959,5.0,1511354670
638,3147,5.0,1511357248
638,4720,4.0,1511358053
638,6870,5.0,1511358042
638,8972,3.5,1511358076
638,27773,4.0,1511358070
638,44665,4.0,1511358060
638,45447,5.0,1511358073
638,48780,5.0,1511358046
638,74458,5.0,1511358044
638,79132,5.0,1511354669
638,92259,5.0,1511354671
638,109487,5.0,1511357370
638,112552,5.0,1511354667
638,112556,4.0,1511358049
638,112868,4.0,1511357594
638,114060,5.0,1511355189
638,128360,5.0,1511358056
638,164179,5.0,1511357347
701,223,4.0,1462141670
701,260,4.0,1462139977
701,293,5.0,1462140008
701,296,3.5,1462139963
701,480,5.0,1462140089
701,858,5.0,1462139808
701,1196,4.0,1462140085
701,1198,3.0,1462140086
701,1203,5.0,1462139832
701,1210,4.0,1462140149
701,1249,4.5,1462140027
701,1997,3.5,1462226336
701,2019,5.0,1462139876
701,2571,3.5,1462139901
701,2716,3.5,1462141473
701,3052,4.0,1462139951
701,3535,4.5,1462141487
701,4262,3.0,1462141459
701,4896,2.0,1462141228
701,5219,4.0,1462141725
701,5464,4.5,1462139824
701,5690,3.5,1462221264
701,6874,4.5,1462140128
701,8783,3.0,1462139941
701,8874,3.0,1462141286
701,33794,4.5,1462139927
701,44191,4.0,1462139892
701,47099,5.0,1462141419
701,48385,0.5,1462141376
701,55765,3.5,1462141655
701,58559,5.0,1462140076
701,59784,2.5,1462141326
701,63876,3.0,1462139957
701,66097,4.0,1462141680
701,66934,4.0,1462141719
701,71535,3.5,1462141293
701,91500,3.0,1462141032
701,97304,2.5,1462141350
701,99114,3.5,1462140093
701,109487,4.0,1462139905
701,117529,1.0,1462141357
701,122886,4.0,1462140153
734,527,4.0,1046907456
734,543,4.0,1046908093
734,588,4.0,1046907525
734,934,3.0,1046907731
734,1097,3.0,1046907039
734,1185,3.0,1046908184
734,1221,5.0,1046907573
734,1270,5.0,1046907549
734,1274,3.0,1046908126
734,1321,2.0,1046908460
734,1441,5.0,1046907839
734,1732,5.0,1046907859
734,2005,5.0,1046907456
734,2407,1.0,1046907573
734,2926,4.0,1046908280
734,2987,4.0,1046908399
734,3225,4.0,1046964128
734,3247,3.0,1046908540
734,3252,5.0,1046908068
734,3635,4.0,1046907978
734,3671,4.0,1046908399
734,3996,3.0,1046908603
734,4018,4.0,1046964015
734,4039,4.0,1046908093
734,4054,3.0,1046963969
734,4141,5.0,1046964104
734,4246,3.0,1046963945
734,4306,5.0,1046908280
